1,2,6,5,4,3,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
Overgrown Tomb,Chandra's Phoenix,Duskwatch Recruiter,"Rishkar, Peema Renegade",Cryptic Command,Orzhov Signet,Restoration Angel,Impulse,Tooth and Nail,Ultimate Price,Rampant Growth,Flickerwisp,Lotus Cobra,Epochrasite,Terramorphic Expanse,"Kiki-Jiki, Mirror Breaker",Silverblade Paladin,Keldon Marauders,Chromatic Star,Gifts Ungiven,Exhume,Legion Warboss,Magma Jet,Lightning Greaves,Knight of Autumn,Cultivate,Geist of Saint Traft,Wooded Foothills,Maze of Ith,Ophiomancer,Baleful Strix,Swords to Plowshares,Dig Through Time,Incinerate,Rakdos Cackler,Lotus Cobra,Farseek,Phantasmal Image,Soulfire Grand Master,Farseek,Polluted Delta,Phyrexian Metamorph,Everflowing Chalice,Chandra's Phoenix,Primeval Titan,Legion's Landing,Sylvan Caryatid,"Elspeth, Knight-Errant",Deceiver Exarch,Ravenous Chupacabra,Griselbrand
Umezawa's Jitte,Serum Visions,"Nissa, Vastwood Seer",Bloodbraid Elf,Sphinx's Revelation,Thopter Spy Network,Blightsteel Colossus,Mana Leak,Thran Dynamo,"Emrakul, the Aeons Torn",Reclamation Sage,Council's Judgment,Jace Beleren,Vedalken Shackles,Meloku the Clouded Mirror,Bitterblossom,"Thalia, Heretic Cathar",Koth of the Hammer,Rampant Growth,Doom Blade,Deathrite Shaman,Disenchant,Temple of Epiphany,Collective Brutality,Archangel of Thune,Kodama's Reach,Council's Judgment,Flametongue Kavu,Pia and Kiran Nalaar,Sower of Temptation,Brainstorm,Flickerwisp,Hostage Taker,Shrine of Burning Rage,Liliana of the Veil,Arbor Elf,"Elspeth, Sun's Champion",Arcane Denial,Hero's Downfall,Thundermaw Hellkite,Mystical Tutor,Burst Lightning,Bloodsoaked Champion,Imposing Sovereign,Qasali Pridemage,Tireless Tracker,Spire of Industry,Selfless Spirit,Steam Vents,Watery Grave,Lightning Bolt
Thoughtseize,Dack Fayden,Verdurous Gearhulk,Llanowar Elves,Control Magic,Tragic Slip,Karmic Guide,Torrential Gearhulk,Stomping Ground,Tectonic Edge,Scavenging Ooze,Dauntless Bodyguard,Accorder Paladin,Phyrexian Metamorph,"Keranos, God of Storms",Goblin Welder,"Brimaz, King of Oreskos",Craterhoof Behemoth,Kodama's Reach,Birds of Paradise,Booster Tutor,Crucible of Worlds,Char,Demonic Tutor,Secure the Wastes,Eternal Witness,Flickerwisp,Chandra's Phoenix,Ulvenwald Oddity,Custodi Lich,Everflowing Chalice,Nevinyrral's Disk,Hymn to Tourach,Young Pyromancer,Bloodsoaked Champion,Isochron Scepter,Tooth and Nail,Legion's Landing,"Sorin, Lord of Innistrad",Bloodbraid Elf,Thoughtseize,Spire of Industry,Ravenous Chupacabra,Magma Jet,Rishadan Port,Assassin's Trophy,Green Sun's Zenith,Preordain,Scroll Rack,Temple of Deceit,Blood Crypt
Maelstrom Pulse,Glen Elendra Archmage,Beast Within,Natural Order,Mortify,Mishra's Factory,Bonesplitter,Whirler Rogue,Spike Feeder,Ravenous Chupacabra,"Nissa, Steward of Elements",Fiend Hunter,Swords to Plowshares,"Paliano, the High City",Dread Wanderer,Dark Ritual,Legion's Landing,"Xenagos, the Reveler",Skullclamp,Preordain,Damnation,"Brimaz, King of Oreskos","Chandra, Torch of Defiance",Ultimate Price,Deranged Hermit,"Thrun, the Last Troll",Force of Negation,Scalding Tarn,Bloodbraid Elf,Liliana of the Veil,Languish,Council's Judgment,Dimir Signet,Ash Zealot,Kitesail Freebooter,Panharmonicon,"Thalia, Heretic Cathar",Journey to Nowhere,"Elspeth, Knight-Errant",Temple of Abandon,Maze of Ith,"Kari Zev, Skyship Raider",Glory-Bound Initiate,"Thalia, Guardian of Thraben",Selesnya Signet,Den Protector,Wall of Blossoms,Vendilion Clique,Control Magic,Booster Tutor,Pia Nalaar
Pack Rat,"Chandra, Pyromaster",Memory Lapse,Acidic Slime,Disenchant,Tezzeret the Seeker,Batterskull,Polluted Delta,"Xenagos, the Reveler",Bloodstained Mire,Mother of Runes,"Isamaru, Hound of Konda",Watery Grave,Glen Elendra Archmage,Sphinx of the Steel Wind,Sensei's Divining Top,Boros Signet,Magma Jet,Tarmogoyf,Reanimate,Godless Shrine,"Nahiri, the Harbinger",Stromkirk Noble,Dark Ritual,Garruk Relentless,Acidic Slime,Pestermite,Abbot of Keral Keep,Hellrider,Chromatic Star,Hostage Taker,Restoration Angel,"Nissa, Vastwood Seer","Kari Zev, Skyship Raider",Solemn Simulacrum,Cultivate,Knight of Autumn,Hallowed Fountain,Skinrender,Tarmogoyf,Doom Blade,Lodestone Golem,Path to Exile,Condemn,Bonesplitter,Luminarch Aspirant,Primeval Titan,Swords to Plowshares,"Saheeli, Sublime Artificer",Gitaxian Probe,"Kalitas, Traitor of Ghet"
Skinrender,Smuggler's Copter,Craterhoof Behemoth,Jungle Shrine,Armageddon,Worn Powerstone,Mother of Runes,Inkwell Leviathan,Lightning Strike,Inquisition of Kozilek,Selesnya Signet,Oath of Druids,"Baral, Chief of Compliance",Tectonic Edge,Baleful Strix,Faithless Looting,"Kari Zev, Skyship Raider",Cultivate,Mana Leak,Tinker,"Sorin, Lord of Innistrad","Elspeth, Knight-Errant",Goblin Guide,Temple of Malady,Mana Tithe,Rancor,Frantic Search,Shrine of Burning Rage,Garruk Relentless,Thoughtseize,Preordain,Timeless Dragon,Misty Rainforest,Stormblood Berserker,Oona's Prowler,Chain Lightning,Sakura-Tribe Elder,Imposing Sovereign,Dark Ritual,"Kiki-Jiki, Mirror Breaker",Torrential Gearhulk,Sword of Light and Shadow,Dark Ritual,Boros Signet,Secure the Wastes,Mortify,Acidic Slime,Nevinyrral's Disk,Stormblood Berserker,Damnation,Reanimate
Bitterblossom,Fiery Confluence,Force of Will,"Kiki-Jiki, Mirror Breaker",Indomitable Archangel,Phantasmal Image,Fiend Hunter,"Kiki-Jiki, Mirror Breaker",Temple of Abandon,Dread Wanderer,Trygon Predator,Secure the Wastes,Hallowed Fountain,Nevinyrral's Disk,Bomat Courier,Murderous Redcap,Dark Confidant,Green Sun's Zenith,Verdurous Gearhulk,Marsh Flats,Custodi Lich,Hordeling Outburst,Dark Confidant,Golgari Signet,Ghost Quarter,Noble Hierarch,Parallax Wave,"Chandra, Torch of Defiance",Guttersnipe,Inquisition of Kozilek,Vedalken Shackles,Indomitable Archangel,"Tasigur, the Golden Fang",Zurgo Bellstriker,Mardu Strike Leader,Hordeling Outburst,Temple of Plenty,Marsh Flats,Damnation,Misty Rainforest,Serum Visions,Solemn Simulacrum,Dread Wanderer,Selfless Spirit,Temple Garden,Birds of Paradise,Reclamation Sage,Wall of Omens,Pestermite,Brainstorm,Murderous Redcap
Thragtusk,Char,Flooded Strand,Treetop Village,Imposing Sovereign,Go for the Throat,Accorder Paladin,Izzet Signet,Abrade,Basalt Monolith,Journey to Nowhere,Restoration Angel,Indomitable Archangel,Lodestone Golem,Whip of Erebos,Stormblood Berserker,Ravenous Chupacabra,Sword of Feast and Famine,Deathrite Shaman,Breeding Pool,Mardu Strike Leader,Boros Charm,"Kiki-Jiki, Mirror Breaker",Verdant Catacombs,Llanowar Elves,Rhonas the Indomitable,Spellskite,Falkenrath Gorger,Hellspark Elemental,Hymn to Tourach,Bloodghast,Journey to Nowhere,Collective Brutality,Grim Lavamancer,Lodestone Golem,Gruul Signet,Reclamation Sage,Cyclonic Rift,Living Death,Survival of the Fittest,Scroll Rack,Dack Fayden,Diregraf Ghoul,Young Pyromancer,Sram's Expertise,"Tasigur, the Golden Fang","Polukranos, World Eater",True-Name Nemesis,Young Pyromancer,Serum Visions,Sulfuric Vortex
"Braids, Cabal Minion",Izzet Charm,Preordain,"Sarkhan, the Dragonspeaker",Banishing Light,Sphinx of the Steel Wind,Reveillark,Phantasmal Image,Huntmaster of the Fells,Solemn Simulacrum,Stifle,"Elspeth, Knight-Errant",Arid Mesa,Brainstorm,Crucible of Worlds,Rakdos Cackler,Master Splicer,Deranged Hermit,Garruk Wildspeaker,Natural Order,Kolaghan's Command,Lightning Bolt,Hellspark Elemental,Bloodsoaked Champion,Temple Garden,Oath of Druids,Force Spike,Lightning Bolt,Magma Jet,Gitaxian Probe,"Tezzeret, Agent of Bolas",Hero of Bladehold,Assassin's Trophy,Monastery Swiftspear,Hypnotic Specter,Magma Jet,"Paliano, the High City",Snapcaster Mage,Flickerwisp,Green Sun's Zenith,Baleful Strix,"Daretti, Scrap Savant",Isochron Scepter,Goblin Guide,Vryn Wingmare,Journey to Nowhere,Llanowar Elves,Council's Judgment,Thirst for Knowledge,Hostage Taker,Exhume
Sakura-Tribe Elder,Goblin Guide,Carnage Tyrant,Experiment One,Lightning Greaves,Dimir Signet,Darksteel Ingot,Shrine of Burning Rage,Experiment One,Languish,Noble Hierarch,"Brimaz, King of Oreskos",Farseek,Tezzeret the Seeker,Recurring Nightmare,Siege-Gang Commander,Custodi Lich,Birds of Paradise,Mystical Tutor,Izzet Signet,Orzhov Signet,Thundermaw Hellkite,Phyrexian Revoker,Dread Wanderer,Unexpectedly Absent,Green Sun's Zenith,"Baral, Chief of Compliance",Char,Thragtusk,Serum Visions,Damnation,Legion's Landing,Plaguecrafter,Legion Warboss,Batterskull,Sulfuric Vortex,Mother of Runes,Soldier of the Pantheon,Swords to Plowshares,Birds of Paradise,Glen Elendra Archmage,Izzet Signet,Mortify,Lightning Strike,"Thalia, Heretic Cathar",Courser of Kruphix,Carnage Tyrant,"Brimaz, King of Oreskos","Keranos, God of Storms",Remand,Thoughtseize
