PlayerId,Name
1,John
2,Johnny
3,Gretchen
4,Izzy
5,Billy 
6,Tyler
7,Bruce
8,Alex
9,Tay
10,Mack 
11,Sky
12,Nate
13,Shane
14,Zeth
15,Tini
16,Matt
